timestamp_ms,total_time_us,preprocess_us,find_gap_us,find_best_point_us,control_us,scan_size,frequency_hz
1750577016609,49.584,11.5,5.0,3.9,1.3,1080,85.8
1750577016613,43.500,11.0,4.9,3.8,0.8,1080,322.2
1750577016617,49.668,10.8,4.8,3.8,1.2,1080,215.9
1750577016620,42.751,11.1,4.7,3.7,0.5,1080,301.9
1750577016625,52.168,11.7,5.0,4.0,1.2,1080,209.7
1750577016629,46.917,11.0,4.8,3.7,0.8,1080,267.0
1750577016633,50.792,11.1,4.8,4.7,0.8,1080,283.5
1750577016637,45.167,11.1,4.8,3.8,0.8,1080,248.1
1750577016641,44.793,11.3,4.8,4.2,1.4,1080,246.3
1750577016645,51.292,11.5,5.1,3.9,1.4,1080,250.5
1750577016650,52.751,11.8,4.9,4.0,1.2,1080,192.3
1750577016652,36.668,10.8,4.5,3.6,0.4,1080,383.1
1750577016657,41.668,11.5,4.8,4.0,1.3,1080,197.0
1750577016661,42.000,11.3,4.8,4.0,1.0,1080,315.6
1750577016665,38.126,10.9,4.5,3.8,0.7,1080,257.6
1750577016669,37.876,11.5,5.0,3.6,0.8,1080,214.0
1750577016673,41.876,11.0,4.8,3.7,1.0,1080,278.9
1750577016677,49.709,11.5,5.0,4.0,1.3,1080,241.6
1750577016681,43.959,10.9,4.7,3.8,1.3,1080,267.8
1750577016685,44.709,11.1,4.8,3.8,0.8,1080,255.8
1750577016690,43.709,11.9,4.9,3.8,1.3,1080,188.0
1750577016693,57.709,11.2,4.8,4.0,1.2,1080,292.6
1750577016696,38.459,10.8,4.5,3.8,0.6,1080,315.8
1750577016700,37.793,10.8,4.5,3.6,0.6,1080,252.5
1750577016705,48.709,11.4,4.7,3.7,1.0,1080,227.0
1750577016710,134.377,11.8,5.1,11.0,1.8,1080,198.8
1750577016713,52.210,11.2,4.9,4.0,1.3,1080,309.2
1750577016716,40.501,11.1,4.8,3.7,0.8,1080,294.4
1750577016721,56.168,11.5,4.9,4.0,1.2,1080,240.4
1750577016725,60.084,11.8,5.0,3.8,1.3,1080,220.8
1750577016729,47.334,11.1,4.7,3.7,1.2,1080,232.2
1750577016733,46.875,11.1,4.8,3.5,0.4,1080,292.8
1750577016737,43.417,11.2,4.8,3.7,0.9,1080,239.9
1750577016741,49.042,11.3,4.8,3.9,1.4,1080,227.3
1750577016745,54.751,11.6,5.0,3.9,1.6,1080,288.0
1750577016750,51.335,12.0,4.9,3.7,1.4,1080,204.7
1750577016753,54.001,11.2,4.9,3.8,1.1,1080,362.5
1750577016768,49.334,12.1,4.9,3.8,1.5,1080,62.9
1750577016774,74.334,12.2,5.1,3.8,1.3,1080,184.4
1750577016777,61.835,17.6,5.0,4.0,1.3,1080,350.0
1750577016781,59.085,11.9,5.1,3.8,1.5,1080,256.7
1750577016785,48.918,11.0,4.9,3.7,0.5,1080,255.8
1750577016789,41.167,10.9,4.7,3.6,0.8,1080,228.9
1750577016794,56.168,12.5,5.2,4.0,2.1,1080,203.0
1750577016796,38.750,10.8,4.6,3.6,0.5,1080,384.1
1750577016801,53.459,11.6,5.0,3.9,1.2,1080,240.0
1750577016805,49.542,11.9,4.9,4.1,1.1,1080,245.7
1750577016810,58.043,11.6,4.9,3.8,1.3,1080,206.0
1750577016813,62.627,11.2,4.9,3.5,0.9,1080,317.3
1750577016817,45.626,11.0,4.7,3.7,0.4,1080,263.3
1750577016824,61.126,11.5,5.0,4.0,1.4,1080,133.6
1750577016825,41.375,10.9,4.8,3.5,0.3,1080,1329.4
1750577016829,48.168,11.3,4.8,3.8,1.5,1080,231.3
1750577016833,48.792,11.5,5.0,3.9,1.3,1080,278.5
1750577016837,50.251,11.6,5.0,3.9,1.0,1080,231.8
1750577016841,55.876,11.9,5.0,3.8,1.5,1080,253.3
1750577016845,54.876,10.9,4.6,3.8,0.6,1080,236.2
1750577016849,46.126,10.9,4.7,3.7,0.4,1080,264.4
1750577016854,58.709,11.5,5.1,4.0,1.5,1080,202.0
1750577016866,52.709,12.0,5.0,3.8,1.4,1080,86.1
1750577016870,60.334,11.9,5.0,3.9,1.2,1080,214.9
1750577016873,44.292,11.9,5.0,3.7,1.2,1080,400.7
1750577016877,43.542,11.3,4.9,3.8,1.0,1080,219.0
1750577016881,53.501,10.9,4.6,3.6,0.5,1080,299.2
1750577016889,54.209,11.6,5.1,3.9,1.4,1080,112.4
1750577016893,47.584,11.4,4.9,3.6,1.0,1080,322.4
1750577016897,46.834,11.3,4.8,3.8,1.2,1080,243.7
