timestamp,total_time_ms,preprocess_ms,find_gap_ms,find_best_point_ms,control_ms,scan_size,frequency_hz
1750584584329,0.047,0.013,0.004,0.004,0.001,1080,304.8
1750584584333,0.041,0.014,0.005,0.004,0.000,1080,248.1
1750584584337,0.040,0.014,0.004,0.004,0.001,1080,225.3
1750584584341,0.035,0.013,0.004,0.004,0.001,1080,283.6
1750584584345,0.044,0.013,0.004,0.004,0.001,1080,246.4
1750584584349,0.055,0.014,0.004,0.004,0.001,1080,251.3
1750584584353,0.054,0.014,0.005,0.004,0.001,1080,240.3
1750584584358,0.038,0.013,0.004,0.004,0.000,1080,204.1
1750584584361,0.035,0.013,0.004,0.004,0.000,1080,295.2
1750584584365,0.041,0.014,0.004,0.004,0.000,1080,238.4
1750584584369,0.060,0.014,0.005,0.004,0.001,1080,298.5
1750584584373,0.042,0.013,0.004,0.004,0.001,1080,252.0
1750584584378,0.041,0.014,0.004,0.004,0.001,1080,191.8
1750584584381,0.035,0.013,0.004,0.004,0.001,1080,358.9
1750584584386,0.047,0.014,0.005,0.004,0.001,1080,203.5
1750584584389,0.046,0.014,0.004,0.004,0.001,1080,315.7
1750584584394,0.035,0.013,0.004,0.004,0.000,1080,211.8
1750584584398,0.037,0.013,0.004,0.004,0.001,1080,237.6
1750584584409,0.044,0.014,0.005,0.004,0.001,1080,91.4
1750584584409,0.028,0.013,0.004,0.004,0.000,1080,1808.5
1750584584413,0.047,0.014,0.005,0.004,0.001,1080,268.7
1750584584417,0.054,0.014,0.005,0.004,0.001,1080,230.1
1750584584421,0.033,0.013,0.004,0.004,0.000,1080,295.3
1750584584425,0.045,0.013,0.004,0.004,0.000,1080,249.2
1750584584429,0.042,0.013,0.004,0.004,0.001,1080,245.6
1750584584436,0.053,0.014,0.005,0.004,0.001,1080,145.8
1750584584437,0.032,0.013,0.004,0.004,0.001,1080,679.0
1750584584441,0.047,0.013,0.004,0.004,0.001,1080,272.0
1750584584445,0.055,0.014,0.005,0.004,0.001,1080,236.4
1750584584449,0.045,0.014,0.005,0.004,0.001,1080,257.0
1750584584453,0.044,0.013,0.004,0.004,0.001,1080,222.1
1750584584458,0.044,0.014,0.005,0.004,0.001,1080,221.8
1750584584461,0.035,0.014,0.005,0.004,0.000,1080,352.5
1750584584465,0.037,0.013,0.004,0.004,0.001,1080,247.6
1750584584469,0.038,0.013,0.004,0.004,0.001,1080,254.9
1750584584473,0.040,0.013,0.004,0.004,0.001,1080,245.7
1750584584478,0.053,0.014,0.005,0.004,0.001,1080,197.3
1750584584481,0.049,0.014,0.005,0.004,0.001,1080,325.2
1750584584486,0.042,0.014,0.005,0.004,0.000,1080,220.9
1750584584489,0.041,0.015,0.005,0.004,0.001,1080,301.5
1750584584494,0.040,0.014,0.005,0.004,0.000,1080,212.2
1750584584497,0.050,0.015,0.005,0.004,0.001,1080,263.1
1750584584501,0.033,0.013,0.004,0.004,0.001,1080,291.1
1750584584505,0.039,0.013,0.004,0.004,0.001,1080,249.2
1750584584509,0.047,0.014,0.005,0.004,0.001,1080,246.7
1750584584513,0.042,0.014,0.005,0.004,0.001,1080,243.0
1750584584518,0.044,0.014,0.005,0.004,0.001,1080,197.8
1750584584521,0.045,0.014,0.005,0.004,0.000,1080,355.3
1750584584526,0.046,0.014,0.005,0.004,0.000,1080,208.9
1750584584529,0.060,0.015,0.005,0.004,0.001,1080,306.8
1750584584540,0.049,0.014,0.005,0.004,0.002,1080,88.7
1750584584541,0.037,0.013,0.004,0.004,0.000,1080,1716.1
1750584584545,0.048,0.014,0.005,0.004,0.002,1080,228.7
1750584584549,0.038,0.013,0.004,0.004,0.001,1080,271.2
1750584584553,0.044,0.013,0.004,0.004,0.000,1080,222.2
1750584584558,0.044,0.014,0.005,0.004,0.000,1080,220.6
1750584584561,0.071,0.035,0.005,0.004,0.001,1080,331.3
1750584584565,0.051,0.014,0.005,0.004,0.001,1080,247.9
1750584584569,0.046,0.014,0.004,0.004,0.001,1080,252.4
1750584584573,0.046,0.014,0.005,0.004,0.001,1080,246.1
1750584584578,0.051,0.014,0.005,0.004,0.001,1080,217.0
1750584584581,0.040,0.014,0.005,0.004,0.000,1080,257.2
1750584584585,0.036,0.014,0.005,0.004,0.000,1080,252.7
1750584584589,0.041,0.014,0.005,0.004,0.000,1080,288.8
